date max mean median min stdv sum topic n1 no st rt
20170731 19.65 5.94 5.76 3.7 1.21 369168.32 RTS164 0.3488 0.3488 17 10
20170801 20.8 5.93 5.76 3.7 1.17 383327.97 RTS164 0.3488 0.3488 17 10
20170802 20.69 5.93 5.74 4.12 1.2 346595.49 RTS164 0.3488 0.3488 17 10
20170803 19.91 5.98 5.79 3.73 1.23 375138.47 RTS164 0.3488 0.3488 17 10
20170804 21.05 5.92 5.7 3.65 1.23 395082.09 RTS164 0.3488 0.3488 17 10
20170805 20.62 5.89 5.68 4.06 1.24 360978.02 RTS164 0.3488 0.3488 17 10
20170729 17.88 8.64 8.62 7.09 0.89 38751.25 RTS166 0.1282 0.0657 18 16
20170730 18.86 8.78 8.79 6.56 0.77 40308.61 RTS166 0.1282 0.0657 18 16
20170731 18.17 8.68 8.6 7.54 0.81 41642.17 RTS166 0.1282 0.0657 18 16
20170801 19.93 8.69 8.56 7.56 0.9 42199.03 RTS166 0.1282 0.0657 18 16
20170802 19.24 8.72 8.65 7.55 0.85 35521.07 RTS166 0.1282 0.0657 18 16
20170803 18.73 8.62 8.49 7.47 0.88 45602.88 RTS166 0.1282 0.0657 18 16
20170804 19.31 8.62 8.68 7.46 0.88 45967.25 RTS166 0.1282 0.0657 18 16
20170805 19.25 8.4 8.48 7.35 0.62 49089.46 RTS166 0.1282 0.0657 18 16
20170729 32.63 8.78 8.01 7.44 1.77 26303.19 RTS167 0.2038 0.2038 20 14
20170730 33.17 8.82 8.05 7.11 1.76 28080.37 RTS167 0.2038 0.2038 20 14
20170731 31.76 8.44 8.21 6.82 1.59 40508.66 RTS167 0.2038 0.2038 20 14
20170801 27.95 9.08 8.37 7.35 2.52 39405.44 RTS167 0.2038 0.2038 20 14
20170802 25.8 8.78 8.31 7.29 2.14 37889.87 RTS167 0.2038 0.2038 20 14
20170803 23.39 8.38 8.15 7.13 1.5 45139.09 RTS167 0.2038 0.2038 20 14
20170804 32.06 8.56 7.87 7.29 1.61 36510.62 RTS167 0.2038 0.2038 20 14
20170805 23.57 8.93 7.99 7.41 2.13 27499.26 RTS167 0.2038 0.2038 20 14
20170729 36.67 8.26 8.16 7.14 1.08 37976.24 RTS171 0.3753 0.3753 20 14
20170730 29.08 8.43 8.27 7.25 1.07 38656.92 RTS171 0.3753 0.3753 20 14
20170731 36.69 8.32 7.69 7.12 1.19 39507.19 RTS171 0.3753 0.3753 20 14
20170801 29.29 8.07 7.43 6.85 1.12 47396.93 RTS171 0.3753 0.3753 20 14
20170802 19.86 7.93 7.31 6.73 1.13 45077.2 RTS171 0.3753 0.3753 20 14
20170803 28.22 8.28 7.71 7.13 1.11 41707.37 RTS171 0.3753 0.3753 20 14
20170804 28.6 8.35 7.75 7.17 1.14 40040.75 RTS171 0.3753 0.3753 20 14
20170805 20.46 8.1 7.55 6.98 1.13 39824.08 RTS171 0.3753 0.3753 20 14
20170729 37.56 8.22 7.84 6.47 1.33 51082.0 RTS173 0.536 0.536 28 14
20170730 26.65 8.46 8.27 7.17 1.14 52191.0 RTS173 0.536 0.536 28 14
